track,prompt_version,temperature,repeat_id,model_name,provider,n_variants,label_accuracy,label_mcc,flags_micro_f1,flags_macro_f1,faithfulness_v1
V1TrackA,V1,0.0,1,claude-3-haiku-20240307,Anthropic,100,0.21,0.0181,0.658,0.6206,0.424
V1TrackA,V1,0.0,2,claude-3-haiku-2024030720250809_140438,Anthropic,100,0.21,0.0178,0.658,0.6206,0.424
V1TrackA,V1,0.3,1,claude-3-haiku-2024030720250809_141131,Anthropic,100,0.21,0.0181,0.664,0.6257,0.43
V1TrackA,V1,0.3,2,claude-3-haiku-2024030720250809_145502,Anthropic,100,0.2,0.0,0.656,0.6189,0.424
V1TrackA,V1,0.5,1,claude-3-haiku-2024030720250809_150150,Anthropic,100,0.22,0.0357,0.658,0.6206,0.422
V1TrackA,V1,0.5,2,claude-3-haiku-2024030720250809_150631,Anthropic,100,0.21,0.0184,0.654,0.6172,0.422
V1TrackA,V1,0.7,1,claude-3-haiku-2024030720250809_151135,Anthropic,100,0.22,0.0346,0.658,0.6206,0.418
V1TrackA,V1,0.7,2,claude-3-haiku-2024030720250809_151642,Anthropic,100,0.22,0.0346,0.66,0.6244,0.424
V1TrackA,V1,1.0,1,claude-3-haiku-2024030720250809_152259,Anthropic,100,0.24,0.0658,0.67,0.6318,0.42
V1TrackA,V1,1.0,2,claude-3-haiku-2024030720250809_152729,Anthropic,100,0.22,0.0328,0.656,0.6189,0.416
V1TrackB,V1,0.0,1,claude-3-haiku-20240307,Anthropic,100,0.2,0.0,0.66,0.6264,0.426
V1TrackB,V1,0.0,2,claude-3-haiku-2024030720250808_040458,Anthropic,100,0.21,0.0201,0.658,0.6227,0.428
V1TrackB,V1,0.3,1,claude-3-haiku-2024030720250808_041642,Anthropic,100,0.2,0.0,0.66,0.6254,0.432
V1TrackB,V1,0.3,2,claude-3-haiku-2024030720250808_042443,Anthropic,100,0.21,0.0201,0.658,0.6227,0.428
V1TrackB,V1,0.5,1,claude-3-haiku-2024030720250808_043143,Anthropic,100,0.21,0.0192,0.664,0.6288,0.434
V1TrackB,V1,0.5,2,claude-3-haiku-2024030720250808_043843,Anthropic,100,0.2,0.0,0.664,0.6288,0.424
V1TrackB,V1,0.7,1,claude-3-haiku-2024030720250808_044528,Anthropic,100,0.2,0.0,0.664,0.6288,0.428
V1TrackB,V1,0.7,2,claude-3-haiku-2024030720250808_045108,Anthropic,100,0.23,0.053,0.664,0.6288,0.422
V1TrackB,V1,1.0,1,claude-3-haiku-2024030720250808_045808,Anthropic,100,0.21,0.0192,0.648,0.6152,0.414
V1TrackB,V1,1.0,2,claude-3-haiku-2024030720250808_051400,Anthropic,100,0.17,-0.0578,0.664,0.6288,0.422
V2TrackA,V2,0.0,1,claude-3-haiku-2024030720250809_164401,Anthropic,100,0.2,0.0,0.658,0.6206,0.422
V2TrackA,V2,0.0,2,claude-3-haiku-2024030720250809_164917,Anthropic,100,0.2,0.0,0.658,0.6206,0.422
V2TrackA,V2,0.3,1,claude-3-haiku-2024030720250809_163104,Anthropic,100,0.22,0.0328,0.66,0.6223,0.424
V2TrackA,V2,0.3,2,claude-3-haiku-2024030720250809_163723,Anthropic,100,0.21,0.0168,0.664,0.6257,0.426
V2TrackA,V2,0.5,1,claude-3-haiku-2024030720250809_161132,Anthropic,100,0.23,0.0492,0.666,0.6274,0.424
V2TrackA,V2,0.5,2,claude-3-haiku-2024030720250809_161721,Anthropic,100,0.22,0.0341,0.66,0.6223,0.416
V2TrackA,V2,0.7,1,claude-3-haiku-2024030720250809_155917,Anthropic,100,0.22,0.0336,0.662,0.624,0.416
V2TrackA,V2,0.7,2,claude-3-haiku-2024030720250809_160551,Anthropic,100,0.26,0.0984,0.656,0.621,0.422
V2TrackA,V2,1.0,1,claude-3-haiku-2024030720250809_154351,Anthropic,100,0.22,0.0323,0.662,0.6261,0.414
V2TrackA,V2,1.0,2,claude-3-haiku-2024030720250809_155222,Anthropic,100,0.21,0.0164,0.656,0.6189,0.418
V2TrackB,V2,0.0,1,claude-3-haiku-20240307_ps1_add,Anthropic,100,0.22,0.0369,0.662,0.6319,0.432
V2TrackB,V2,0.0,2,claude-3-haiku-2024030720250809_183403,Anthropic,100,0.2,0.0,0.658,0.6206,0.422
V2TrackB,V2,0.3,1,claude-3-haiku-2024030720250809_184844,Anthropic,100,0.2,0.0,0.658,0.6206,0.422
V2TrackB,V2,0.3,2,claude-3-haiku-2024030720250809_185427,Anthropic,100,0.2,0.0,0.658,0.6206,0.422
V2TrackB,V2,0.5,1,claude-3-haiku-2024030720250809_190406,Anthropic,100,0.2,0.0,0.658,0.6206,0.422
V2TrackB,V2,0.5,2,claude-3-haiku-2024030720250809_190845,Anthropic,100,0.2,0.0,0.658,0.6206,0.422
V2TrackB,V2,0.7,1,claude-3-haiku-2024030720250809_191731,Anthropic,100,0.2,0.0,0.658,0.6206,0.422
V2TrackB,V2,0.7,2,claude-3-haiku-2024030720250809_192213,Anthropic,100,0.2,0.0,0.658,0.6206,0.422
V2TrackB,V2,1.0,1,claude-3-haiku-2024030720250809_192717,Anthropic,100,0.2,0.0,0.658,0.6206,0.422
V2TrackB,V2,1.0,2,claude-3-haiku-2024030720250809_193156,Anthropic,100,0.2,0.0,0.658,0.6206,0.422
